time,lat,lon,alt,sds01-pm2.5,sds01-pm10,sds01-TSP,sds02-pm2.5,sds02-pm10,sds02-TSP,sds03-pm2.5,sds03-pm10,sds03-TSP,sds04-pm2.5,sds04-pm10,sds04-TSP
2019-08-19 10:51:40,53.803599049,-1.546575036,63.045,nan,nan,nan,2.7,14.8,18,nan,nan,nan,2.6,10.2,3.8
2019-08-19 10:51:45,53.803655221,-1.54653062,65.644,nan,nan,nan,2.6,14.6,17.7,nan,nan,nan,2.8,10.7,4.5
2019-08-19 10:51:50,53.803718176,-1.546483977,65.932,nan,nan,nan,2.8,15.7,19,nan,nan,nan,3,12.2,6.2
2019-08-19 10:51:55,53.803756614,-1.546429748,65.601,nan,nan,nan,2.7,14,17.2,nan,nan,nan,3,12.1,6.1
2019-08-19 10:52:00,53.803792349,-1.546392866,65.962,nan,nan,nan,2.6,11.4,14.5,nan,nan,nan,3.1,11,5.1
2019-08-19 10:52:05,53.803804749,-1.546380522,64.271,nan,nan,nan,2.5,13,16,nan,nan,nan,3.2,11.6,5.8
2019-08-19 10:52:10,53.803808156,-1.546382469,61.763,nan,nan,nan,2.6,15.1,18.2,nan,nan,nan,3.1,10.8,4.9
2019-08-19 10:52:15,53.803836129,-1.546391575,61.64,nan,nan,nan,2.7,15.7,18.9,nan,nan,nan,3.4,12.5,6.9
2019-08-19 10:52:20,53.803832303,-1.546393822,61.184,nan,nan,nan,2.8,14,17.3,nan,nan,nan,3.4,12.3,6.7
2019-08-19 10:52:25,53.80383945,-1.546385481,59.722,nan,nan,nan,2.8,15.1,18.4,nan,nan,nan,3.5,11.6,6.1
2019-08-19 10:52:30,53.803840048,-1.546377177,58.992,nan,nan,nan,2.9,16.9,20.3,nan,nan,nan,3.4,13.4,7.8
2019-08-19 10:52:35,53.803838252,-1.546368907,62.149,nan,nan,nan,2.8,15.3,18.6,nan,nan,nan,3.6,13.1,7.7
2019-08-19 10:52:40,53.803847025,-1.546360196,61.831,nan,nan,nan,2.7,14.6,17.8,nan,nan,nan,3.6,14.9,9.5
2019-08-19 10:52:45,53.803839275,-1.546360582,62.822,nan,nan,nan,2.7,15.9,19.1,nan,nan,nan,3.2,13.3,7.5
2019-08-19 10:52:50,53.8038345,-1.546358873,64.14,nan,nan,nan,2.8,18.2,21.5,nan,nan,nan,3.2,13.6,7.8
2019-08-19 10:52:55,53.80383005,-1.546359796,65.295,nan,nan,nan,2.9,18.9,22.3,nan,nan,nan,3.4,14.9,9.3
2019-08-19 10:53:00,53.803827616,-1.546364324,65.667,nan,nan,nan,3.1,18.7,22.3,nan,nan,nan,3.4,13.7,8.1
2019-08-19 10:53:05,53.803830652,-1.546359923,64.862,nan,nan,nan,3.1,20.1,23.7,nan,nan,nan,3.3,14,8.3
2019-08-19 10:53:10,53.803831178,-1.54635643,65.575,nan,nan,nan,3.1,18.5,22.1,nan,nan,nan,3.2,12.8,7
2019-08-19 10:53:15,53.803832132,-1.546358418,65.659,nan,nan,nan,3,16.9,20.4,nan,nan,nan,3.3,11.9,6.2
2019-08-19 10:53:20,53.803831282,-1.546356758,66.744,nan,nan,nan,2.8,13.8,17.1,nan,nan,nan,3.1,11.9,6
2019-08-19 10:53:25,53.803826059,-1.546344653,68.285,nan,nan,nan,2.5,12.7,15.7,nan,nan,nan,2.6,10.5,4.1
2019-08-19 10:53:30,53.803821416,-1.546338023,68.626,nan,nan,nan,2.4,13.5,16.4,nan,nan,nan,2.8,9.3,3.1
2019-08-19 10:53:35,53.803825627,-1.546340155,67.985,nan,nan,nan,2.4,12.6,15.5,nan,nan,nan,2.9,10.9,4.8
2019-08-19 10:53:40,53.803824254,-1.546340754,67.812,nan,nan,nan,2.4,13.8,16.7,nan,nan,nan,2.8,12.8,6.6
2019-08-19 10:53:45,53.803823237,-1.546346392,67.573,nan,nan,nan,2.4,13.8,16.7,nan,nan,nan,2.8,12.1,5.9
2019-08-19 10:53:50,53.803817559,-1.546337228,68.816,nan,nan,nan,2.5,14.8,17.8,nan,nan,nan,2.9,12.4,6.3
2019-08-19 10:53:55,53.803817147,-1.546345396,69.506,nan,nan,nan,2.6,15.8,18.9,nan,nan,nan,3,13.4,7.4
2019-08-19 10:54:00,53.803817007,-1.546347808,70.187,nan,nan,nan,2.6,14.4,17.5,nan,nan,nan,2.8,12.9,6.7
2019-08-19 10:54:05,53.80381678,-1.546348993,69.648,nan,nan,nan,2.6,14.1,17.2,nan,nan,nan,2.7,12.4,6.1
2019-08-19 10:54:10,53.80381713,-1.546351194,68.132,nan,nan,nan,2.5,12.6,15.6,nan,nan,nan,2.6,10.1,3.7
2019-08-19 10:54:15,53.803815871,-1.546352708,67.962,nan,nan,nan,2.5,12.9,15.9,nan,nan,nan,2.8,11,4.8
2019-08-19 10:54:20,53.803825112,-1.546356701,67.296,nan,nan,nan,2.5,13.3,16.3,nan,nan,nan,4.5,13.9,9.4
2019-08-19 10:54:25,53.803831265,-1.546349631,66.076,nan,nan,nan,2.6,11.3,14.4,nan,nan,nan,4.8,13.8,9.6
2019-08-19 10:54:30,53.803831087,-1.546340499,66.14,nan,nan,nan,2.6,10.4,13.5,nan,nan,nan,4.7,14.3,10
2019-08-19 10:54:35,53.803827645,-1.54632011,63.286,nan,nan,nan,2.8,10.7,14,nan,nan,nan,4.8,14.1,9.9
2019-08-19 10:54:40,53.803826257,-1.546315763,62.841,nan,nan,nan,2.9,11.6,15,nan,nan,nan,4.8,13.7,9.5
2019-08-19 10:54:45,53.803825085,-1.546308956,63.184,nan,nan,nan,2.9,13.6,17,nan,nan,nan,4.8,13.3,9.1
2019-08-19 10:54:50,53.803820945,-1.546299988,64.476,nan,nan,nan,3.2,13.3,17,nan,nan,nan,3.4,10.7,5.1
2019-08-19 10:54:55,53.803816599,-1.54629287,65.623,nan,nan,nan,3.4,16,19.9,nan,nan,nan,3,10.3,4.3
2019-08-19 10:55:00,53.803812983,-1.546288745,65.806,nan,nan,nan,3.5,17.3,21.3,nan,nan,nan,3.1,10.6,4.7
2019-08-19 10:55:05,53.803817348,-1.546302839,65.326,nan,nan,nan,3.3,16.1,19.9,nan,nan,nan,3,10.2,4.2
2019-08-19 10:55:10,53.80381772,-1.546303986,64.404,nan,nan,nan,3.3,15.7,19.5,nan,nan,nan,3,10.5,4.5
2019-08-19 10:55:15,53.803812758,-1.546295322,64.944,nan,nan,nan,3.4,13.5,17.4,nan,nan,nan,2.8,9.4,3.2
2019-08-19 10:55:20,53.803809899,-1.54628726,64.57,nan,nan,nan,3.1,13,16.6,nan,nan,nan,2.8,11.3,5.1
2019-08-19 10:55:25,53.803806392,-1.546284579,65.079,nan,nan,nan,2.7,11,14.2,nan,nan,nan,3.1,14.1,8.2
2019-08-19 10:55:30,53.803806886,-1.546287088,64.196,nan,nan,nan,2.7,10.6,13.8,nan,nan,nan,3.1,14.8,8.9
2019-08-19 10:55:35,53.803802327,-1.546275799,64.976,nan,nan,nan,2.5,10.5,13.5,nan,nan,nan,3.1,14.8,8.9
2019-08-19 10:55:40,53.803803303,-1.546272983,66.099,nan,nan,nan,2.5,11.1,14.1,nan,nan,nan,3.2,15.1,9.3
2019-08-19 10:55:45,53.803808965,-1.546277501,65.229,nan,nan,nan,2.3,10.4,13.2,nan,nan,nan,3.3,15.5,9.8
2019-08-19 10:55:50,53.803808996,-1.546279367,65.053,nan,nan,nan,2.5,11.7,14.7,nan,nan,nan,3.1,12.9,7
2019-08-19 10:55:55,53.803808237,-1.546277025,65.201,nan,nan,nan,2.6,11.4,14.5,nan,nan,nan,2.9,11,4.9
2019-08-19 10:56:00,53.803807555,-1.546272498,66.236,nan,nan,nan,2.7,12.6,15.8,nan,nan,nan,3,12.2,6.2
2019-08-19 10:56:05,53.803804032,-1.546264236,67.216,nan,nan,nan,2.9,14.4,17.8,nan,nan,nan,3,12,6
2019-08-19 10:56:10,53.803805073,-1.546265064,66.463,nan,nan,nan,3,14.8,18.3,nan,nan,nan,3.1,12.2,6.3
2019-08-19 10:56:15,53.803810243,-1.546276189,65.199,nan,nan,nan,3.2,15.9,19.6,nan,nan,nan,3.1,13.8,7.9
2019-08-19 10:56:20,53.80381515,-1.546284931,64.328,nan,nan,nan,3.2,16.1,19.8,nan,nan,nan,3.1,14,8.1
