time,lat,lon,alt,sds01-pm2.5,sds01-pm10,sds01-TSP,sds02-pm2.5,sds02-pm10,sds02-TSP,sds03-pm2.5,sds03-pm10,sds03-TSP,sds04-pm2.5,sds04-pm10,sds04-TSP
2019-08-02 14:33:19,53.805900719,-1.555839683,145.602,nan,nan,nan,2.3,6.1,3.3,nan,nan,nan,2.2,3.1,5.8
2019-08-02 14:33:39,53.806422146,-1.555339823,78.291,nan,nan,nan,2.3,5.9,3.1,nan,nan,nan,2.3,3.2,6
2019-08-02 14:33:59,53.806574467,-1.555188124,77.149,nan,nan,nan,2.2,4.1,1.2,nan,nan,nan,2.6,3.7,6.8
2019-08-02 14:34:19,53.806746736,-1.555211076,74.556,nan,nan,nan,3.9,8,6.8,nan,nan,nan,3.8,4.5,8.8
2019-08-02 14:34:39,53.806776191,-1.554876179,76.854,nan,nan,nan,3.8,5.5,4.2,nan,nan,nan,4,7.1,11.6
2019-08-02 14:34:59,53.806860682,-1.554598458,70.333,nan,nan,nan,2.3,4.6,1.8,nan,nan,nan,2.6,5.4,8.5
2019-08-02 14:35:19,53.807068528,-1.554560972,76.899,nan,nan,nan,2.1,4.1,1.1,nan,nan,nan,2.6,3.8,6.9
2019-08-02 14:35:39,53.807130707,-1.554374195,75.763,nan,nan,nan,2.4,10,7.3,nan,nan,nan,2.6,3.8,6.9
2019-08-02 14:35:59,53.807208033,-1.554202917,80.011,nan,nan,nan,2,3.8,0.7,nan,nan,nan,2.3,3.4,6.2
2019-08-02 14:36:19,53.807248996,-1.55394323,82.61,nan,nan,nan,2.2,5,2.1,nan,nan,nan,2.4,3.8,6.7
2019-08-02 14:36:39,53.80726679,-1.553679051,86.415,nan,nan,nan,2.3,5.7,2.9,nan,nan,nan,2.4,4.3,7.2
2019-08-02 14:36:59,53.807221686,-1.553371594,81.911,nan,nan,nan,1.9,3.8,0.6,nan,nan,nan,2.6,4.9,8
2019-08-02 14:37:19,53.807255095,-1.553116541,83.663,nan,nan,nan,2.2,7.1,4.2,nan,nan,nan,2.7,5.5,8.7
2019-08-02 14:37:39,53.807278515,-1.552817244,74.124,nan,nan,nan,2.2,4.4,1.5,nan,nan,nan,3.1,5.7,9.3
2019-08-02 14:37:59,53.807435764,-1.552470084,83.188,nan,nan,nan,2.9,5.4,3.2,nan,nan,nan,3.1,4.1,7.7
2019-08-02 14:38:19,53.807552042,-1.552399299,79.096,nan,nan,nan,2.3,4.7,1.9,nan,nan,nan,2.5,3.4,6.4
2019-08-02 14:38:39,53.80778462,-1.552261264,87.613,nan,nan,nan,2.7,6.9,4.5,nan,nan,nan,2.8,4.9,8.2
2019-08-02 14:38:59,53.807980937,-1.552264306,93.074,nan,nan,nan,2.4,5.7,3,nan,nan,nan,2.7,4.6,7.8
2019-08-02 14:39:19,53.80809011,-1.552316668,91.036,nan,nan,nan,2.4,9.5,6.8,nan,nan,nan,2.5,4.1,7.1
2019-08-02 14:39:39,53.808279091,-1.552366107,93.166,nan,nan,nan,2.6,7.3,4.8,nan,nan,nan,2.8,4.7,8
2019-08-02 14:39:59,53.808401419,-1.552513609,89.672,nan,nan,nan,2.7,7.1,4.7,nan,nan,nan,2.9,4.5,7.9
2019-08-02 14:40:19,53.808555146,-1.552587642,84.6,nan,nan,nan,2.7,4.9,2.5,nan,nan,nan,2.9,6,9.4
2019-08-02 14:40:39,53.808678586,-1.552696352,89.069,nan,nan,nan,2.9,5,2.8,nan,nan,nan,3.2,5.5,9.2
2019-08-02 14:40:59,53.808840656,-1.552787173,94.296,nan,nan,nan,2.9,6.7,4.5,nan,nan,nan,3.2,6.5,10.2
2019-08-02 14:41:19,53.808960696,-1.552948455,89.377,nan,nan,nan,3.4,14.3,12.6,nan,nan,nan,3.6,13.5,17.6
2019-08-02 14:41:39,53.809061753,-1.553108203,89.14,nan,nan,nan,2.9,12.3,10.1,nan,nan,nan,3.6,13.1,17.2
2019-08-02 14:41:59,53.809140962,-1.553315165,89.38,nan,nan,nan,2.7,7.6,5.2,nan,nan,nan,3.2,7.7,11.4
2019-08-02 14:42:19,53.809221865,-1.553470736,89.52,nan,nan,nan,3,11.1,9,nan,nan,nan,3.4,8.4,12.3
2019-08-02 14:42:39,53.809289439,-1.553613019,89.828,nan,nan,nan,3.1,13,11,nan,nan,nan,3.2,10.3,14
2019-08-02 14:42:59,53.809358745,-1.55376371,88.917,nan,nan,nan,3,9.6,7.5,nan,nan,nan,3.1,5.2,8.8
2019-08-02 14:43:19,53.809441012,-1.553939212,87.868,nan,nan,nan,2.8,7.1,4.8,nan,nan,nan,3.3,7.2,11
2019-08-02 14:43:39,53.80946992,-1.554082212,79.975,nan,nan,nan,2.8,7.6,5.3,nan,nan,nan,3.5,5.1,9.1
2019-08-02 14:43:59,53.809557926,-1.554301776,78.458,nan,nan,nan,2.9,10.2,8,nan,nan,nan,3.2,7.4,11.1
2019-08-02 14:44:19,53.809630274,-1.554502327,79.059,nan,nan,nan,3.3,9.2,7.4,nan,nan,nan,3.4,6.1,10
2019-08-02 14:44:39,53.809707647,-1.554713459,78.136,nan,nan,nan,3.2,7.8,5.9,nan,nan,nan,3.5,6.2,10.2
2019-08-02 14:44:59,53.809786802,-1.554959824,82.469,nan,nan,nan,3.1,11.3,9.3,nan,nan,nan,3.7,7.8,12
2019-08-02 14:45:19,53.809869989,-1.555219556,86.153,nan,nan,nan,4,12.8,11.7,nan,nan,nan,4.7,9.7,14.9
2019-08-02 14:45:39,53.809906582,-1.555443806,86.283,nan,nan,nan,4.9,12.1,11.9,nan,nan,nan,5.5,12.9,18.9
2019-08-02 14:45:59,53.809977047,-1.555624787,82.167,nan,nan,nan,4,18.2,17.1,nan,nan,nan,4.2,9.7,14.4
2019-08-02 14:46:19,53.810066808,-1.555795402,83.023,nan,nan,nan,3.6,17.9,16.4,nan,nan,nan,4.1,7.9,12.5
2019-08-02 14:46:39,53.810173181,-1.555902878,90.01,nan,nan,nan,3.5,8.9,7.3,nan,nan,nan,3.8,7,11.3
2019-08-02 14:46:59,53.810250677,-1.556072189,86.252,nan,nan,nan,3.6,8.2,6.7,nan,nan,nan,3.6,5.9,10
2019-08-02 14:47:19,53.810402853,-1.556185305,94.515,nan,nan,nan,3.7,10.6,9.2,nan,nan,nan,3.9,7.1,11.5
2019-08-02 14:47:39,53.810460763,-1.556325325,85.215,nan,nan,nan,3.7,10.3,8.9,nan,nan,nan,3.5,6,10
2019-08-02 14:47:59,53.810562924,-1.5564814,85.321,nan,nan,nan,3.4,9.9,8.2,nan,nan,nan,3.5,4.8,8.8
2019-08-02 14:48:19,53.810499134,-1.55659409,98.643,nan,nan,nan,4.7,8.7,8.3,nan,nan,nan,5.2,7,12.7
2019-08-02 14:48:39,53.810432258,-1.556848642,99.542,nan,nan,nan,5.7,8.3,8.9,nan,nan,nan,4.9,8.3,13.7
2019-08-02 14:48:59,53.810338869,-1.557034943,102.909,nan,nan,nan,4.3,8,7.2,nan,nan,nan,5,7.2,12.7
2019-08-02 14:49:19,53.810242907,-1.55722442,100.947,nan,nan,nan,4,7.6,6.5,nan,nan,nan,4.5,6.4,11.4
2019-08-02 14:49:39,53.81011722,-1.557482309,112.222,nan,nan,nan,4.3,8.5,7.7,nan,nan,nan,6.3,7,13.8
2019-08-02 14:49:59,53.809980435,-1.557672463,121.824,nan,nan,nan,3.3,7,5.2,nan,nan,nan,4.4,5.9,10.8
2019-08-02 14:50:19,53.809938659,-1.557740495,101.139,nan,nan,nan,3.4,6.5,4.8,nan,nan,nan,4,5.1,9.6
2019-08-02 14:50:39,53.809825028,-1.557873234,95.622,nan,nan,nan,3.2,6.7,4.8,nan,nan,nan,3.6,4.3,8.4
2019-08-02 14:51:00,53.809711587,-1.557990837,94.291,nan,nan,nan,2.5,6.5,3.9,nan,nan,nan,3.6,4.9,9
2019-08-02 14:51:20,53.80959017,-1.55811415,93.237,nan,nan,nan,2.5,6.7,4.1,nan,nan,nan,3.5,7.1,11.1
2019-08-02 14:51:40,53.809428947,-1.558172328,93.554,nan,nan,nan,2.5,5.6,3,nan,nan,nan,3.2,5.9,9.6
2019-08-02 14:52:00,53.809268642,-1.558244304,92.223,nan,nan,nan,2.7,6.5,4.1,nan,nan,nan,3.2,5.8,9.5
2019-08-02 14:52:20,53.809134718,-1.558284425,90.403,nan,nan,nan,2.9,8,5.8,nan,nan,nan,3.2,6,9.7
2019-08-02 14:52:40,53.808978537,-1.558369433,90.434,nan,nan,nan,2.6,9.1,6.6,nan,nan,nan,2.9,4.7,8.1
2019-08-02 14:53:00,53.808834512,-1.558441863,91.581,nan,nan,nan,2.8,7.4,5.1,nan,nan,nan,3.3,5.6,9.4
2019-08-02 14:53:20,53.808699894,-1.558467911,88.207,nan,nan,nan,2.8,7.4,5.1,nan,nan,nan,3.3,6.3,10.1
2019-08-02 14:53:40,53.808560499,-1.558565179,85.966,nan,nan,nan,2.6,5.7,3.2,nan,nan,nan,3.2,6.3,10
2019-08-02 14:54:00,53.808407393,-1.558798967,94.692,nan,nan,nan,2.9,8.1,5.9,nan,nan,nan,3.1,5.4,9
2019-08-02 14:54:20,53.808279637,-1.559006546,100.165,nan,nan,nan,2.8,13.3,11,nan,nan,nan,3.4,6.7,10.6
2019-08-02 14:54:40,53.808157493,-1.55912466,96.63,nan,nan,nan,3.5,11.9,10.3,nan,nan,nan,3.3,6.1,9.9
