time,lat,lon,alt,sds01-pm2.5,sds01-pm10,sds01-TSP,sds02-pm2.5,sds02-pm10,sds02-TSP,sds03-pm2.5,sds03-pm10,sds03-TSP,sds04-pm2.5,sds04-pm10,sds04-TSP
2019-08-09 12:37:33,53.806855988,-1.556383766,58.83,nan,nan,nan,0.2,0.4,21.1,nan,nan,nan,1.2,2.7,4.4
2019-08-09 12:37:53,53.806914857,-1.556286934,61.359,nan,nan,nan,1.7,4.1,0.7,nan,nan,nan,1.8,2.8,5.1
2019-08-09 12:38:13,53.807052364,-1.556043677,61.684,nan,nan,nan,3.7,5,3.6,nan,nan,nan,2.2,4,6.7
2019-08-09 12:38:33,53.807336192,-1.55594925,69.844,nan,nan,nan,2.4,3.8,1.1,nan,nan,nan,2.6,3.6,6.7
2019-08-09 12:38:53,53.807428024,-1.556301692,69.465,nan,nan,nan,2.2,3.6,0.7,nan,nan,nan,2.5,6.1,9.1
2019-08-09 12:39:13,53.807501137,-1.556681616,69.371,nan,nan,nan,2,7.8,4.7,nan,nan,nan,2,6.5,9
2019-08-09 12:39:33,53.807595614,-1.557116669,68.764,nan,nan,nan,1.7,6.2,2.8,nan,nan,nan,1.9,4.5,6.9
2019-08-09 12:39:53,53.807806547,-1.557176867,70.049,nan,nan,nan,1.8,4,0.7,nan,nan,nan,2,4.2,6.7
2019-08-09 12:40:13,53.807951192,-1.557167491,69.458,nan,nan,nan,1.8,3.1,25.4,nan,nan,nan,1.9,5.6,8
2019-08-09 12:40:33,53.808085354,-1.55713724,70.056,nan,nan,nan,1.7,6.6,3.2,nan,nan,nan,1.9,4.9,7.3
2019-08-09 12:40:53,53.808091206,-1.557142575,68.997,nan,nan,nan,1.8,6.1,2.8,nan,nan,nan,1.8,3.8,6.1
2019-08-09 12:41:13,53.808060854,-1.557130153,66.748,nan,nan,nan,2.1,9,6,nan,nan,nan,2,4,6.5
2019-08-09 12:41:33,53.808209235,-1.557114366,84.935,nan,nan,nan,2.1,7.6,4.6,nan,nan,nan,2.1,5.4,8
2019-08-09 12:41:53,53.808466594,-1.557048606,91.087,nan,nan,nan,2.4,10.9,8.2,nan,nan,nan,2.2,4.4,7.1
2019-08-09 12:42:13,53.808705348,-1.556896264,93.266,nan,nan,nan,2.4,10.6,7.9,nan,nan,nan,2.2,4,6.7
2019-08-09 12:42:33,53.808862085,-1.55661408,91.097,nan,nan,nan,3.9,16.4,15.2,nan,nan,nan,2.2,5.1,7.8
2019-08-09 12:42:53,53.809129521,-1.556544933,95.215,nan,nan,nan,3.7,16.2,14.8,nan,nan,nan,2.2,5.9,8.6
2019-08-09 12:43:13,53.809374444,-1.556553768,97.449,nan,nan,nan,2,6,2.9,nan,nan,nan,2.1,5,7.6
2019-08-09 12:43:33,53.809547977,-1.556757181,101.085,nan,nan,nan,3.8,7.5,6.2,nan,nan,nan,2.2,4.4,7.1
2019-08-09 12:43:53,53.809668134,-1.557086855,101.932,nan,nan,nan,2.5,6,3.4,nan,nan,nan,2,3.6,6.1
2019-08-09 12:44:13,53.80972493,-1.557484793,95.311,nan,nan,nan,2.7,6.5,4.1,nan,nan,nan,2,3.9,6.4
2019-08-09 12:44:33,53.809751977,-1.557814635,95.648,nan,nan,nan,3.7,12.8,11.4,nan,nan,nan,2.1,4.2,6.8
2019-08-09 12:44:53,53.810065928,-1.55767425,94.48,nan,nan,nan,4.5,22.2,21.6,nan,nan,nan,2.1,4.4,7
2019-08-09 12:45:13,53.810287416,-1.557358877,104.347,nan,nan,nan,8.6,26.3,4.3,nan,nan,nan,2.1,7.3,9.9
2019-08-09 12:45:33,53.810472457,-1.557001015,110.406,nan,nan,nan,2.9,27.5,25.4,nan,nan,nan,2.2,9.3,12
2019-08-09 12:45:53,53.810618239,-1.55666457,107.964,nan,nan,nan,2.8,18.2,15.9,nan,nan,nan,2.5,7.9,10.9
2019-08-09 12:46:13,53.810677166,-1.556547622,107.019,nan,nan,nan,3.1,21.6,19.6,nan,nan,nan,2.8,9.7,13
